chapter Number,Chapter Name,Total Verses,Verse Number,Sanskrit,English Translation,Explanation,youtubeLink,Image url
1,Arjuna Vishada Yoga,47,1,धृतराष्ट्र उवाच | धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः | मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय || 1 ||,Dhritarashtra Uvācha: Dharmakshetre Kurukshetre Samaveta Yuyutsavah | Māmakāh Pāndavāshchaiva Kimakurvata Sanjaya || 1 ||,"Dhritarashtra, who is blind, asks Sanjaya to narrate the events of the battlefield of Kurukshetra, where the great war is about to take place between his sons (the Kauravas) and the Pandavas.",https://youtu.be/xFVUUXvYLJY?si=7BNm9w80ERiTqb_Z,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,2,सञ्जय उवाच | दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा | आचार्यमुपसंगम्य राजा वचनमब्रवीत् || 2 ||,Sanjaya Uvācha: Drishtvā Tu Pāndavāneekam Vyoodham Duryodhanastadā | Āchāryamupasangamya Rājā Vachanamabraveet || 2 ||,"Duryodhana, the leader of the Kauravas, sees the Pandava army ready for battle and goes to his mentor, Dronacharya, to discuss the situation.",https://youtu.be/gOpdQWkF-gs?si=6WIRg-HV5GqV9_A8,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,3,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् | व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता || 3 ||,Pashyaitām Pānduputrānām Āchārya Mahateem Chamoom | Vyoodhām Drupadaputrena Tava Shishyena Dheemataa || 3 ||,"Duryodhana points out to Dronacharya that the Pandava army has been arranged strategically by Dronacharya’s own disciple, Dhrishtadyumna, the son of Drupada.",https://youtu.be/oi-_Oqoe9j4?si=NnV-BDAIVZzfZ73j,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,4,अत्र शूरा महेष्वासा भीमार्जुनसमा युधि | युयुधानो विराटश्च द्रुपदश्च महारथः || 4 ||,Atra Shoorā Maheshwāsā Bheemārjunasamā Yudhi | Yuyudhāno Virātashcha Drupadashcha Mahārathah || 4 ||,"Duryodhana highlights the strength of the Pandava army, mentioning several great warriors who are capable of formidable combat.",https://youtu.be/PRwkOmNGfKU?si=27xlIJqjW1jPl5G_,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,5,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् | पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुंगवः || 5 ||,Dhrishtaketuśh Chekitānah Kāshirājashcha Veeryavān | Purujit Kuntibhojashcha Shaibyashcha Narapungavah || 5 ||,"Duryodhana continues to list the names of more powerful warriors in the Pandava army, recognizing their might.",https://youtu.be/Y2ut_WOKQWM?si=7H75xFkm8z2witRE,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,6,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् | सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः || 6 ||,Yudhāmanyuśhcha Vikrānta Uttamaujāścha Veeryavān | Saubhadro Draupadeyāshcha Sarva Eva Mahārathāh || 6 ||,"The verse lists more warriors on the Pandava side, emphasizing the strength and capability of their army.",https://youtu.be/yeDgEaaEy1E?si=j7GMHHHacV-FELdX,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,7,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम | नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते || 7 ||,Asmākam Tu Vishishtā Ye Tānnibodha Dwijoottama | Nāyakā Mama Sainyasya Samjñārtham Tānbraveemi Te || 7 ||,"Duryodhana turns his attention to the warriors in his own army, beginning to name those who are the most distinguished.",https://youtu.be/Xy1-PNx097A?si=0zqyk7yEV7gc7MPF,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,8,भवान्भीष्मश्च कर्णश्च कृपश्च समितिंजयः | अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च || 8 ||,Bhavān Bhīshmaścha Karṇaścha Kripaścha Samitinjayaḥ | Ashwatthāmā Vikarṇaścha Saumadattistathaiva Cha || 8 ||,"Duryodhana lists the key warriors in his army, beginning with Dronacharya, Bhishma, Karna, and others, who are known for their prowess in battle.",https://youtu.be/8VFcktphW6g?si=NKi2MA2gn8jkOIC0,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,9,अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः | नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः || 9 ||,Anye Cha Bahavah Shoorā Madarthe Tyaktajeevitāḥ | Nānāshastrapraharanāḥ Sarve Yuddhavishāradāḥ || 9 ||,Duryodhana acknowledges the many other warriors in his army who are prepared to lay down their lives for his cause.,https://youtu.be/olnwsBBcuKc?si=F2NGvYDjrjVVpkT3,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,10,अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् | पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् || 10 ||,Aparyāptam Tadasmākam Balam Bhīshmābhirakshitam | Paryāptam Twidametesām Balam Bhīmābhirakshitam || 10 ||,"Duryodhana compares the strength of his army to that of the Pandavas, expressing confidence in his forces, which are led by Bhishma, while noting that the Pandavas are led by Bhima.",https://youtu.be/GK_RINzWVl4?si=MJSmBTeYnFna4T6F,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
